XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,100,500,50,100,FALSE,20000,FALSE,1024,6400.136536
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,500,100,50,TRUE,20000,FALSE,2048,6788.405404
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,100,500,10,50,FALSE,20000,TRUE,1024,2601.344028
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,250,50,200,FALSE,20000,TRUE,1024,5972.169689
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,100,250,100,100,TRUE,20000,FALSE,1024,6268.151522
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,10,50,TRUE,20000,FALSE,2048,6179.451265
256,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,10,200,TRUE,20000,TRUE,1024,5905.27932
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,100,250,10,100,FALSE,20000,TRUE,1024,3309.468389
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,200,100,250,50,100,TRUE,20000,FALSE,1024,5750.32106
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,10,50,TRUE,20000,TRUE,1024,5721.369314
64,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,500,10,50,TRUE,20000,TRUE,1024,4151.272365
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,500,50,200,TRUE,20000,TRUE,1024,5044.560282
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,25,500,50,200,FALSE,20000,TRUE,1024,5275.467318
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,500,50,100,FALSE,20000,FALSE,1024,4846.83986
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,500,50,100,FALSE,20000,FALSE,1024,7209.805335
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,1000,25,250,100,50,FALSE,20000,FALSE,1024,6415.465549
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,500,50,50,TRUE,20000,FALSE,1024,5904.465744
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,25,500,100,50,TRUE,20000,FALSE,1024,4520.931915
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,1000,25,250,100,100,FALSE,20000,FALSE,2048,5283.271402
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,100,FALSE,20000,TRUE,2048,6233.766234
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,250,50,100,TRUE,20000,FALSE,1024,6382.978723
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,500,100,200,TRUE,20000,FALSE,1024,5700.279314
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,50,200,TRUE,20000,TRUE,1024,3926.59878
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,500,10,200,FALSE,20000,TRUE,2048,4993.092888
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,500,50,200,FALSE,20000,TRUE,2048,6286.672255
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,10,50,FALSE,20000,TRUE,2048,6942.35531
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,250,100,200,TRUE,20000,TRUE,2048,3552.355804
64,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,250,50,50,FALSE,20000,TRUE,1024,6601.386291
64,64,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,250,10,200,TRUE,20000,FALSE,2048,4457.652303
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,50,100,FALSE,20000,FALSE,1024,5778.899312
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,50,50,FALSE,20000,TRUE,2048,5854.45817
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,500,100,200,TRUE,20000,FALSE,1024,6219.034391
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,500,10,100,FALSE,20000,TRUE,1024,7052.683546
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,500,100,50,TRUE,20000,TRUE,1024,6480.461409
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,500,10,100,TRUE,20000,TRUE,1024,4612.829817
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,500,10,200,TRUE,20000,FALSE,2048,6251.172095
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,500,10,100,FALSE,20000,FALSE,1024,7281.730139
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,200,FALSE,30000,FALSE,2048,5528.629084
128,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,50,50,TRUE,30000,FALSE,1024,7146.260124
128,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,50,100,FALSE,30000,FALSE,2048,7884.984361
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,10,50,FALSE,30000,FALSE,2048,7137.588922
128,256,512,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,50,200,TRUE,30000,TRUE,1024,6769.258541
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,10,50,FALSE,30000,FALSE,2048,5427.702996
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,50,200,TRUE,30000,TRUE,2048,3556.946717
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,250,50,50,TRUE,30000,FALSE,2048,7164.863509
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,50,200,TRUE,30000,FALSE,1024,6125.4492
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,10,200,TRUE,30000,TRUE,1024,4197.271773
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,200,FALSE,30000,TRUE,2048,6149.935426
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,250,50,100,TRUE,30000,TRUE,2048,6651.147323
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,10,100,TRUE,30000,TRUE,2048,5796.205418
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,50,FALSE,30000,FALSE,1024,4549.590537
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,50,75,50,100,FALSE,30000,FALSE,2048,6803.029616
64,128,256,org.apache.coyote.http11.Http11Protocol,8192,1000,50,75,100,100,TRUE,30000,TRUE,1024,6420.133539
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,1000,50,75,50,50,FALSE,30000,TRUE,1024,6465.238567
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,75,100,100,TRUE,30000,FALSE,1024,6958.13522
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,75,50,200,TRUE,30000,TRUE,2048,6653.950228
